google_place_id,name,category,primary_type,primary_type_name,activities,activity_type,lat,lon,address,rating,rating_count,price_level,business_status,website,google_maps_url,all_types,found_via_category,found_via_cell
ChIJacwFbbY1CDERG5b27nPD6sA,VEHA Coffee Mountain View,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6088503,104.2850981,"1331 Rd, Kampot 70408, Cambodia",4.3,284,,OPERATIONAL,,https://maps.google.com/?cid=13901138102530250267&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJUz0cQWY3CDERgY4KXxdgpc8,Starbucks,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.607574099999999,104.17880559999999,"Street 735, Kampot 070801, Cambodia",4.2,297,,OPERATIONAL,https://www.starbucks.com.kh/,https://maps.google.com/?cid=14962470990503382657&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJoYXPNoF3DjERzwKG97Ke8IU,Veranda Natural Resort,coffee,hotel,Hotel,coffee,coffee,10.4877956,104.2948806,"kep Cambodia, Cambodia",4.5,937,,OPERATIONAL,http://www.veranda-resort.asia/,https://maps.google.com/?cid=9651388492949095119&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,hotel;coffee_shop;cafe;liquor_store;swimming_pool;spa;bakery;resort_hotel;bar;sports_activity_location;food_store;lodging;store;restaurant;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJIxrZDdQ3CDERPqpj-zoWPKw,ជ្រលងវេហា Valley VEHA,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6160603,104.1336875,"ផ្លូវចូលវាលពួច, Kampot 070801, Cambodia",4,45,,OPERATIONAL,,https://maps.google.com/?cid=12410819115707771454&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJ3ZqXhKXNCTER1mAhKqy-fP0,Zipline Cafe,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.4792043,104.29603089999999,"F7HW+97X Main Beach Road Kep Beach, Krong Kaeb, Cambodia",4.3,148,,OPERATIONAL,,https://maps.google.com/?cid=18265683835358372054&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJSV2VEog2CDERBWI4bd_rwEo,Epic Arts Café,coffee,cafe,Cafe,coffee,coffee,10.6074181,104.1841687,"ភូមិ សុវណ្ណសាគរ, សង្កាត់ កំពង់កណ្តាល, ក្រុង កំពត, Cambodia",4.8,1548,PRICE_LEVEL_MODERATE,OPERATIONAL,https://epicarts.org.uk/pages/epic-arts-cafe,https://maps.google.com/?cid=5386564499177759237&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe;coffee_shop;breakfast_restaurant;food_store;store;restaurant;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJJyumWs83CDERQ_7nmn8y9hY,Brown Coffee,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.606737500000001,104.1795328,"street 735, corner 726, Kampot 070202, Cambodia",4.4,221,PRICE_LEVEL_MODERATE,OPERATIONAL,https://www.browncoffee.com.kh/,https://maps.google.com/?cid=1654565436746366531&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJj-TGGgA3CDERbhRlX7nyN9Y,TUBE COFFEE KAMPOT,coffee,coffee_shop,Coffee Shop,coffee,coffee,10.6078587,104.1789481,"J55H+4HW, Kampot, Cambodia",3.9,69,,OPERATIONAL,https://facebook.com/TubeCoffeeCambodia,https://maps.google.com/?cid=15436073125818995822&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;food_store;store;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJzVuib4g2CDERNfS1VE-rItg,Simple Things,coffee,vegetarian_restaurant,Vegetarian Restaurant,coffee,coffee,10.607987,104.180593,"Old Market, Street, 54, Kampot, Cambodia",4.7,752,,OPERATIONAL,https://www.facebook.com/simple.things.kampot,https://maps.google.com/?cid=15574198818612573237&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,vegetarian_restaurant;yoga_studio;coffee_shop;breakfast_restaurant;vegan_restaurant;cafe;fitness_center;sports_school;sports_complex;gym;sports_activity_location;food_store;health;store;restaurant;point_of_interest;food;establishment,coffee_shop,Kampot town
ChIJ-2C_MQ_LCTER46jGCjw8Gjs,BoTree Farm,coffee,food_store,Food Store,coffee,coffee,10.5902621,104.3263664,"Bo Tree Farm, Kon Sat, 070207, Cambodia",4.9,704,,OPERATIONAL,http://www.botree.asia/,https://maps.google.com/?cid=4258782626208721123&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop;cafe;tour_agency;travel_agency;food_store;service;store;restaurant;point_of_interest;food;establishment,coffee_shop,Kampot town
